title,bu,author,dynasty
论语,经部,孔子门人辑录,春秋
孟子,经部,孟轲,战国
大学,经部,曾子,春秋
中庸,经部,子思,战国
诗经,经部,佚名,先秦
尚书,经部,佚名,先秦
礼记,经部,戴圣编,汉
周易,经部,佚名,先秦
左传,经部,左丘明,春秋
孝经,经部,孔子,春秋
尔雅,经部,佚名,汉
说文解字,经部,许慎,东汉
史记,史部,司马迁,西汉
汉书,史部,班固,东汉
后汉书,史部,范晔,南朝宋
三国志,史部,陈寿,西晋
资治通鉴,史部,司马光,北宋
战国策,史部,刘向辑,西汉
国语,史部,左丘明,春秋
贞观政要,史部,吴兢,唐
水经注,史部,郦道元,北魏
史通,史部,刘知几,唐
老子,子部,李耳,春秋
庄子,子部,庄周,战国
荀子,子部,荀况,战国
韩非子,子部,韩非,战国
墨子,子部,墨翟,战国
孙子兵法,子部,孙武,春秋
吕氏春秋,子部,吕不韦门客,秦
淮南子,子部,刘安,西汉
论衡,子部,王充,东汉
颜氏家训,子部,颜之推,北齐
世说新语,子部,刘义庆,南朝宋
山海经,子部,佚名,先秦
搜神记,子部,干宝,东晋
黄帝内经,子部,佚名,先秦
伤寒杂病论,子部,张仲景,东汉
齐民要术,子部,贾思勰,北魏
梦溪笔谈,子部,沈括,北宋
天工开物,子部,宋应星,明
楚辞,集部,屈原等,战国
文选,集部,萧统编,南朝梁
唐诗三百首,集部,蘅塘退士编,清
宋词三百首,集部,朱孝臧编,清
古文观止,集部,吴楚材吴调侯编,清
文心雕龙,集部,刘勰,南朝梁
诗品,集部,钟嵘,南朝梁
陶渊明集,集部,陶渊明,东晋
李太白集,集部,李白,唐
杜工部集,集部,杜甫,唐
